function,time,iteration
OFDM_synchronisation,2200.986353,1
OFDM_demodulation,334.771182,1
OFDM_channel_estimate,587.332563,1
OFDM_channel_equalisation,18.744246,1
inverse_mapping,54.818889,1
new_SISO_OFDM_DFRC_RADAR_RX,282.645722,1
OFDM_synchronisation,1923.258117,2
OFDM_demodulation,280.651298,2
OFDM_channel_estimate,525.726398,2
OFDM_channel_equalisation,16.291662,2
inverse_mapping,48.611265,2
new_SISO_OFDM_DFRC_RADAR_RX,252.942565,2
OFDM_synchronisation,2353.756505,3
OFDM_demodulation,335.681987,3
OFDM_channel_estimate,780.073655,3
OFDM_channel_equalisation,24.795480,3
inverse_mapping,79.920039,3
new_SISO_OFDM_DFRC_RADAR_RX,423.200638,3
OFDM_synchronisation,2056.514436,4
OFDM_demodulation,259.994642,4
OFDM_channel_estimate,502.598281,4
OFDM_channel_equalisation,15.992670,4
inverse_mapping,47.943051,4
new_SISO_OFDM_DFRC_RADAR_RX,248.262833,4
OFDM_synchronisation,1942.873073,5
OFDM_demodulation,258.763144,5
OFDM_channel_estimate,504.374854,5
OFDM_channel_equalisation,15.526884,5
inverse_mapping,47.089673,5
new_SISO_OFDM_DFRC_RADAR_RX,250.247772,5
