function,time,size,iteration
OFDM_synchronisation,147.558422,256,1
OFDM_demodulation,18.822299,256,1
OFDM_channel_estimate,33.998042,256,1
OFDM_channel_equalisation,1.210910,256,1
inverse_mapping,2.781814,256,1
SISO_OFDM_DFRC_RADAR_RX,33.320719,256,1
OFDM_synchronisation,147.653090,256,2
OFDM_demodulation,19.184362,256,2
OFDM_channel_estimate,34.266924,256,2
OFDM_channel_equalisation,1.152394,256,2
inverse_mapping,2.903518,256,2
SISO_OFDM_DFRC_RADAR_RX,34.198313,256,2
OFDM_synchronisation,144.507908,256,3
OFDM_demodulation,19.084205,256,3
OFDM_channel_estimate,34.086986,256,3
OFDM_channel_equalisation,1.226325,256,3
inverse_mapping,2.843607,256,3
SISO_OFDM_DFRC_RADAR_RX,34.140739,256,3
OFDM_synchronisation,142.268575,256,4
OFDM_demodulation,19.483684,256,4
OFDM_channel_estimate,34.664863,256,4
OFDM_channel_equalisation,1.200852,256,4
inverse_mapping,3.011985,256,4
SISO_OFDM_DFRC_RADAR_RX,35.655526,256,4
OFDM_synchronisation,145.754226,256,5
OFDM_demodulation,20.661388,256,5
OFDM_channel_estimate,35.057697,256,5
OFDM_channel_equalisation,1.362562,256,5
inverse_mapping,2.903375,256,5
SISO_OFDM_DFRC_RADAR_RX,35.657204,256,5
OFDM_synchronisation,316.668380,512,1
OFDM_demodulation,46.855965,512,1
OFDM_channel_estimate,79.873582,512,1
OFDM_channel_equalisation,1.963975,512,1
inverse_mapping,6.102935,512,1
SISO_OFDM_DFRC_RADAR_RX,82.599552,512,1
OFDM_synchronisation,316.857057,512,2
OFDM_demodulation,41.396174,512,2
OFDM_channel_estimate,83.729004,512,2
OFDM_channel_equalisation,1.901587,512,2
inverse_mapping,6.158084,512,2
SISO_OFDM_DFRC_RADAR_RX,83.367152,512,2
OFDM_synchronisation,322.819871,512,3
OFDM_demodulation,41.829987,512,3
OFDM_channel_estimate,82.130853,512,3
OFDM_channel_equalisation,2.020393,512,3
inverse_mapping,6.150827,512,3
SISO_OFDM_DFRC_RADAR_RX,81.723425,512,3
OFDM_synchronisation,326.273362,512,4
OFDM_demodulation,44.038630,512,4
OFDM_channel_estimate,79.819960,512,4
OFDM_channel_equalisation,2.255874,512,4
inverse_mapping,7.459178,512,4
SISO_OFDM_DFRC_RADAR_RX,87.378735,512,4
OFDM_synchronisation,325.769765,512,5
OFDM_demodulation,44.122778,512,5
OFDM_channel_estimate,83.924072,512,5
OFDM_channel_equalisation,2.037513,512,5
inverse_mapping,6.254111,512,5
SISO_OFDM_DFRC_RADAR_RX,88.668335,512,5
OFDM_synchronisation,672.867363,1024,1
OFDM_demodulation,89.914449,1024,1
OFDM_channel_estimate,206.456998,1024,1
OFDM_channel_equalisation,4.034374,1024,1
inverse_mapping,13.247628,1024,1
SISO_OFDM_DFRC_RADAR_RX,168.551046,1024,1
OFDM_synchronisation,644.139834,1024,2
OFDM_demodulation,91.156535,1024,2
OFDM_channel_estimate,200.131813,1024,2
OFDM_channel_equalisation,4.363124,1024,2
inverse_mapping,13.536361,1024,2
SISO_OFDM_DFRC_RADAR_RX,175.554341,1024,2
OFDM_synchronisation,677.097933,1024,3
OFDM_demodulation,88.149998,1024,3
OFDM_channel_estimate,206.561741,1024,3
OFDM_channel_equalisation,4.080875,1024,3
inverse_mapping,13.091408,1024,3
SISO_OFDM_DFRC_RADAR_RX,168.574720,1024,3
OFDM_synchronisation,650.813127,1024,4
OFDM_demodulation,91.308926,1024,4
OFDM_channel_estimate,212.630273,1024,4
OFDM_channel_equalisation,4.629210,1024,4
inverse_mapping,13.470299,1024,4
SISO_OFDM_DFRC_RADAR_RX,177.363265,1024,4
OFDM_synchronisation,653.252012,1024,5
OFDM_demodulation,89.943164,1024,5
OFDM_channel_estimate,203.193031,1024,5
OFDM_channel_equalisation,3.972455,1024,5
inverse_mapping,13.205667,1024,5
SISO_OFDM_DFRC_RADAR_RX,163.770598,1024,5
OFDM_synchronisation,1486.374879,2048,1
OFDM_demodulation,184.420325,2048,1
OFDM_channel_estimate,467.321297,2048,1
OFDM_channel_equalisation,11.307317,2048,1
inverse_mapping,35.171705,2048,1
SISO_OFDM_DFRC_RADAR_RX,369.663097,2048,1
OFDM_synchronisation,1476.864601,2048,2
OFDM_demodulation,186.697272,2048,2
OFDM_channel_estimate,470.100446,2048,2
OFDM_channel_equalisation,11.414145,2048,2
inverse_mapping,35.856242,2048,2
SISO_OFDM_DFRC_RADAR_RX,386.554890,2048,2
OFDM_synchronisation,1501.048749,2048,3
OFDM_demodulation,198.777256,2048,3
OFDM_channel_estimate,482.654094,2048,3
OFDM_channel_equalisation,11.702754,2048,3
inverse_mapping,36.020687,2048,3
SISO_OFDM_DFRC_RADAR_RX,405.040079,2048,3
OFDM_synchronisation,1501.441464,2048,4
OFDM_demodulation,183.420445,2048,4
OFDM_channel_estimate,478.384359,2048,4
OFDM_channel_equalisation,11.033546,2048,4
inverse_mapping,34.580795,2048,4
SISO_OFDM_DFRC_RADAR_RX,376.066994,2048,4
OFDM_synchronisation,1499.928169,2048,5
OFDM_demodulation,205.966956,2048,5
OFDM_channel_estimate,477.069235,2048,5
OFDM_channel_equalisation,12.110052,2048,5
inverse_mapping,36.469684,2048,5
SISO_OFDM_DFRC_RADAR_RX,411.549988,2048,5
